,GAME_ID,TEAM_ID_A,TEAM_NAME_A,TEAM_ABBREVIATION_A,TEAM_CITY_A,MIN_A,EFG_PCT_A,FTA_RATE_A,TM_TOV_PCT_A,OREB_PCT_A,OPP_EFG_PCT_A,OPP_FTA_RATE_A,OPP_TOV_PCT_A,OPP_OREB_PCT_A,TEAM_ID_B,TEAM_NAME_B,TEAM_ABBREVIATION_B,TEAM_CITY_B,MIN_B,EFG_PCT_B,FTA_RATE_B,TM_TOV_PCT_B,OREB_PCT_B,OPP_EFG_PCT_B,OPP_FTA_RATE_B,OPP_TOV_PCT_B,OPP_OREB_PCT_B
1,0021701219,1610612738,Celtics,BOS,Boston,240:00,0.48,0.147,0.136,0.345,0.467,0.176,0.154,0.228,1610612751,Nets,BKN,Brooklyn,240:00,0.467,0.176,0.154,0.175,0.48,0.147,0.136,0.397
2,0021701219,1610612751,Nets,BKN,Brooklyn,240:00,0.467,0.176,0.154,0.175,0.48,0.147,0.136,0.397,1610612738,Celtics,BOS,Boston,240:00,0.48,0.147,0.136,0.345,0.467,0.176,0.154,0.228
1,0021701220,1610612752,Knicks,NYK,New York,240:00,0.576,0.153,0.153,0.19,0.426,0.298,0.152,0.419,1610612739,Cavaliers,CLE,Cleveland,240:00,0.426,0.298,0.152,0.274,0.576,0.153,0.153,0.262
2,0021701220,1610612739,Cavaliers,CLE,Cleveland,240:00,0.426,0.298,0.152,0.274,0.576,0.153,0.153,0.262,1610612752,Knicks,NYK,New York,240:00,0.576,0.153,0.153,0.19,0.426,0.298,0.152,0.419
1,0021701229,1610612762,Jazz,UTA,Utah,240:00,0.416,0.27,0.149,0.237,0.511,0.18,0.101,0.192,1610612757,Trail Blazers,POR,Portland,240:00,0.511,0.18,0.101,0.135,0.416,0.27,0.149,0.305
2,0021701229,1610612757,Trail Blazers,POR,Portland,240:00,0.511,0.18,0.101,0.135,0.416,0.27,0.149,0.305,1610612762,Jazz,UTA,Utah,240:00,0.416,0.27,0.149,0.237,0.511,0.18,0.101,0.192
1,0021701221,1610612761,Raptors,TOR,Toronto,265:00,0.505,0.228,0.132,0.167,0.486,0.189,0.086,0.349,1610612748,Heat,MIA,Miami,265:00,0.486,0.189,0.086,0.302,0.505,0.228,0.132,0.241
2,0021701221,1610612748,Heat,MIA,Miami,265:00,0.486,0.189,0.086,0.302,0.505,0.228,0.132,0.241,1610612761,Raptors,TOR,Toronto,265:00,0.505,0.228,0.132,0.167,0.486,0.189,0.086,0.349
1,0021701224,1610612765,Pistons,DET,Detroit,240:00,0.612,0.112,0.122,0.167,0.436,0.209,0.188,0.31,1610612741,Bulls,CHI,Chicago,240:00,0.436,0.209,0.188,0.207,0.612,0.112,0.122,0.238
2,0021701224,1610612741,Bulls,CHI,Chicago,240:00,0.436,0.209,0.188,0.207,0.612,0.112,0.122,0.238,1610612765,Pistons,DET,Detroit,240:00,0.612,0.112,0.122,0.167,0.436,0.209,0.188,0.31
