,GAME_ID,TEAM_ID_A,TEAM_NAME_A,TEAM_ABBREVIATION_A,TEAM_CITY_A,MIN_A,PTS_OFF_TOV_A,PTS_2ND_CHANCE_A,PTS_FB_A,PTS_PAINT_A,OPP_PTS_OFF_TOV_A,OPP_PTS_2ND_CHANCE_A,OPP_PTS_FB_A,OPP_PTS_PAINT_A,BLK_A,BLKA_A,PF_A,PFD_A,TEAM_ID_B,TEAM_NAME_B,TEAM_ABBREVIATION_B,TEAM_CITY_B,MIN_B,PTS_OFF_TOV_B,PTS_2ND_CHANCE_B,PTS_FB_B,PTS_PAINT_B,OPP_PTS_OFF_TOV_B,OPP_PTS_2ND_CHANCE_B,OPP_PTS_FB_B,OPP_PTS_PAINT_B,BLK_B,BLKA_B,PF_B,PFD_B,Unnamed: 0.1
0,22200001,1610612755,76ers,PHI,Philadelphia,240:00,15.0,8.0,2.0,38.0,22.0,4.0,24.0,44.0,3,3,25,24,1610612738,Celtics,BOS,Boston,240:00,22.0,4.0,24.0,44.0,15.0,8.0,2.0,38.0,3,3,24,25,
1,22200001,1610612738,Celtics,BOS,Boston,240:00,22.0,4.0,24.0,44.0,15.0,8.0,2.0,38.0,3,3,24,25,1610612755,76ers,PHI,Philadelphia,240:00,15.0,8.0,2.0,38.0,22.0,4.0,24.0,44.0,3,3,25,24,
2,22200002,1610612747,Lakers,LAL,Los Angeles,240:00,17.0,4.0,27.0,60.0,27.0,10.0,17.0,38.0,4,4,18,23,1610612744,Warriors,GSW,Golden State,240:00,27.0,10.0,17.0,38.0,17.0,4.0,27.0,60.0,4,4,23,18,
3,22200002,1610612744,Warriors,GSW,Golden State,240:00,27.0,10.0,17.0,38.0,17.0,4.0,27.0,60.0,4,4,23,18,1610612747,Lakers,LAL,Los Angeles,240:00,17.0,4.0,27.0,60.0,27.0,10.0,17.0,38.0,4,4,18,23,
4,22200003,1610612753,Magic,ORL,Orlando,240:00,15.0,16.0,23.0,56.0,24.0,16.0,18.0,46.0,5,4,24,21,1610612765,Pistons,DET,Detroit,240:00,24.0,16.0,18.0,46.0,15.0,16.0,23.0,56.0,4,5,21,24,
5,22200003,1610612765,Pistons,DET,Detroit,240:00,24.0,16.0,18.0,46.0,15.0,16.0,23.0,56.0,4,5,21,24,1610612753,Magic,ORL,Orlando,240:00,15.0,16.0,23.0,56.0,24.0,16.0,18.0,46.0,5,4,24,21,
6,22200004,1610612764,Wizards,WAS,Washington,240:00,10.0,14.0,16.0,58.0,16.0,17.0,21.0,34.0,10,5,19,20,1610612754,Pacers,IND,Indiana,240:00,16.0,17.0,21.0,34.0,10.0,14.0,16.0,58.0,5,10,20,19,
7,22200004,1610612754,Pacers,IND,Indiana,240:00,16.0,17.0,21.0,34.0,10.0,14.0,16.0,58.0,5,10,20,19,1610612764,Wizards,WAS,Washington,240:00,10.0,14.0,16.0,58.0,16.0,17.0,21.0,34.0,10,5,19,20,
8,22200005,1610612745,Rockets,HOU,Houston,240:00,13.0,14.0,10.0,60.0,28.0,8.0,28.0,56.0,3,5,20,18,1610612737,Hawks,ATL,Atlanta,240:00,28.0,8.0,28.0,56.0,13.0,14.0,10.0,60.0,5,3,18,20,
9,22200005,1610612737,Hawks,ATL,Atlanta,240:00,28.0,8.0,28.0,56.0,13.0,14.0,10.0,60.0,5,3,18,20,1610612745,Rockets,HOU,Houston,240:00,13.0,14.0,10.0,60.0,28.0,8.0,28.0,56.0,3,5,20,18,
10,22200006,1610612740,Pelicans,NOP,New Orleans,240:00,26.0,36.0,13.0,62.0,17.0,4.0,18.0,46.0,4,10,21,25,1610612751,Nets,BKN,Brooklyn,240:00,17.0,4.0,18.0,46.0,26.0,36.0,13.0,62.0,10,4,25,21,
11,22200006,1610612751,Nets,BKN,Brooklyn,240:00,17.0,4.0,18.0,46.0,26.0,36.0,13.0,62.0,10,4,25,21,1610612740,Pelicans,NOP,New Orleans,240:00,26.0,36.0,13.0,62.0,17.0,4.0,18.0,46.0,4,10,21,25,
12,22200007,1610612748,Heat,MIA,Miami,240:00,12.0,15.0,8.0,48.0,17.0,11.0,8.0,32.0,2,6,24,26,1610612741,Bulls,CHI,Chicago,240:00,17.0,11.0,8.0,32.0,12.0,15.0,8.0,48.0,6,2,26,24,
13,22200007,1610612741,Bulls,CHI,Chicago,240:00,17.0,11.0,8.0,32.0,12.0,15.0,8.0,48.0,6,2,26,24,1610612748,Heat,MIA,Miami,240:00,12.0,15.0,8.0,48.0,17.0,11.0,8.0,32.0,2,6,24,26,
14,22200008,1610612761,Raptors,TOR,Toronto,240:00,25.0,18.0,20.0,36.0,20.0,4.0,7.0,52.0,4,5,23,21,1610612739,Cavaliers,CLE,Cleveland,240:00,20.0,4.0,7.0,52.0,25.0,18.0,20.0,36.0,5,4,21,23,
15,22200008,1610612739,Cavaliers,CLE,Cleveland,240:00,20.0,4.0,7.0,52.0,25.0,18.0,20.0,36.0,5,4,21,23,1610612761,Raptors,TOR,Toronto,240:00,25.0,18.0,20.0,36.0,20.0,4.0,7.0,52.0,4,5,23,21,
16,22200009,1610612752,Knicks,NYK,New York,265:00,16.0,19.0,19.0,68.0,11.0,20.0,21.0,48.0,5,7,26,17,1610612763,Grizzlies,MEM,Memphis,265:00,11.0,20.0,21.0,48.0,16.0,19.0,19.0,68.0,7,5,17,26,
17,22200009,1610612763,Grizzlies,MEM,Memphis,265:00,11.0,20.0,21.0,48.0,16.0,19.0,19.0,68.0,7,5,17,26,1610612752,Knicks,NYK,New York,265:00,16.0,19.0,19.0,68.0,11.0,20.0,21.0,48.0,5,7,26,17,
18,22200010,1610612760,Thunder,OKC,Oklahoma City,240:00,21.0,22.0,17.0,38.0,18.0,24.0,10.0,50.0,6,5,26,21,1610612750,Timberwolves,MIN,Minnesota,240:00,18.0,24.0,10.0,50.0,21.0,22.0,17.0,38.0,5,6,21,26,
19,22200010,1610612750,Timberwolves,MIN,Minnesota,240:00,18.0,24.0,10.0,50.0,21.0,22.0,17.0,38.0,5,6,21,26,1610612760,Thunder,OKC,Oklahoma City,240:00,21.0,22.0,17.0,38.0,18.0,24.0,10.0,50.0,6,5,26,21,
20,22200011,1610612759,Spurs,SAS,San Antonio,240:00,22.0,12.0,10.0,58.0,25.0,15.0,15.0,54.0,8,10,19,20,1610612766,Hornets,CHA,Charlotte,240:00,25.0,15.0,15.0,54.0,22.0,12.0,10.0,58.0,10,8,20,19,
21,22200011,1610612766,Hornets,CHA,Charlotte,240:00,25.0,15.0,15.0,54.0,22.0,12.0,10.0,58.0,10,8,20,19,1610612759,Spurs,SAS,San Antonio,240:00,22.0,12.0,10.0,58.0,25.0,15.0,15.0,54.0,8,10,19,20,
22,22200012,1610612762,Jazz,UTA,Utah,240:00,34.0,26.0,10.0,42.0,25.0,10.0,19.0,68.0,1,3,21,23,1610612743,Nuggets,DEN,Denver,240:00,25.0,10.0,19.0,68.0,34.0,26.0,10.0,42.0,3,1,23,21,
23,22200012,1610612743,Nuggets,DEN,Denver,240:00,25.0,10.0,19.0,68.0,34.0,26.0,10.0,42.0,3,1,23,21,1610612762,Jazz,UTA,Utah,240:00,34.0,26.0,10.0,42.0,25.0,10.0,19.0,68.0,1,3,21,23,
